id,user_id
295,2
296,84
297,24
298,1
299,94
300,43
301,40
302,48
303,7
304,20
305,10
306,9
307,10
308,46
309,94
310,91
311,62
312,99
313,33
314,8
315,55
316,9
317,27
318,16
319,18
320,30
321,16
322,89
323,61
324,34
325,90
326,48
327,18
328,95
329,85
330,63
331,55
332,88
333,70
334,93
335,77
336,38
337,35
338,13
339,80
340,36
341,61
342,18
343,38
344,79
345,45
346,98
347,90
348,28
349,51
350,23
351,4
352,20
353,11
354,13
355,40
356,9
357,95
358,23
359,75
360,38
361,13
362,23
363,73
364,52
365,40
366,65
367,30
368,55
369,71
370,14
371,8
372,54
373,46
374,32
375,91
376,86
377,60
378,24
379,11
380,25
381,36
382,36
383,17
384,99
385,73
386,97
387,19
388,79
389,33
390,77
391,29
392,20
393,24
394,84
395,49
396,92
397,66
398,73
399,36
400,79
401,17
402,58
403,48
404,23
405,29
406,66
407,75
408,13
409,97
410,93
411,48
412,37
413,57
414,68
415,28
416,76
417,37
418,86
419,89
420,55
421,43
422,93
423,6
424,96
425,58
426,35
427,65
428,17
429,3
430,1
431,57
432,31
433,6
434,99
435,41
436,72
437,11
438,40
439,81
440,15
441,74
442,8
443,58
444,20
445,38
446,81
447,47
448,89
449,25
450,94
451,37
452,6
453,95
454,48
455,89
456,75
457,42
458,56
459,50
460,4
461,80
462,37
463,48
464,70
465,99
466,93
467,70
468,8
469,64
470,4
471,26
472,37
473,42
474,91
475,21
476,43
477,67
478,91
479,73
480,80
481,24
482,31
483,80
484,34
485,98
486,50
487,53
488,89
489,60
490,87
491,96
492,33
493,100
494,35
495,88
496,21
497,98
498,89
499,70
500,28
501,35
502,5
503,44
504,36
505,4
506,30
507,49
508,19
509,34
510,90
511,87
512,77
513,96
514,57
515,86
516,44
517,14
518,70
519,29
520,26
521,93
522,37
523,82
524,76
525,39
526,13
527,91
528,18
529,72
530,14
531,21
532,11
533,62
534,33
535,57
536,44
537,13
538,47
539,56
540,17
541,8
542,27
543,56
544,73
545,81
546,42
547,74
548,52
549,62
550,95
551,40
552,89
553,8
554,70
555,99
556,14
557,43
558,76
559,94
560,55
561,32
562,95
563,89
564,82
565,39
566,80
567,62
568,55
569,1
570,1
571,45
572,28
573,68
574,7
575,67
576,93
577,56
578,15
579,66
580,19
581,67
582,88
583,4
584,37
585,86
586,5
587,44
588,99
589,34
590,85
591,51
592,52
593,90
594,21
595,69
596,85
597,80
598,64
599,51
600,58
601,63
602,8
603,78
604,1
605,1
606,82
607,48
608,38
609,49
610,11
611,17
612,79
613,31
614,14
615,18
616,70
617,77
618,59
619,51
620,88
621,13
622,24
623,76
624,92
625,60
626,72
627,4
628,52
629,69
630,74
631,81
632,79
633,94
634,69
635,67
636,87
637,8
638,81
639,4
640,32
641,4
642,79
643,19
644,39
645,20
646,57
647,20
648,86
649,86
650,24
651,83
652,21
653,34
654,39
655,70
656,62
657,66
658,2
659,68
660,32
661,2
662,76
663,82
664,57
665,83
666,16
667,86
668,70
669,26
670,71
671,90
672,60
673,68
674,3
675,37
676,81
677,57
678,28
679,17
680,73
681,80
682,48
683,43
684,19
685,32
686,3
687,34
688,99
689,64
690,60
691,28
692,94
693,18
694,46
695,51
696,53
697,2
698,87
699,57
700,9
701,80
702,26
703,95
704,45
705,3
706,77
707,17
708,96
709,67
710,83
711,21
712,47
713,28
714,55
715,84
716,41
717,82
718,96
719,9
720,26
721,22
722,27
723,55
724,15
725,46
726,33
727,86
728,93
729,89
730,7
731,31
732,91
733,60
734,78
735,18
736,69
737,69
738,32
739,37
740,52
741,91
742,77
743,74
744,53
745,82
746,12
747,76
748,25
749,97
750,75
751,34
752,15
753,56
754,46
755,4
756,87
757,9
758,23
759,52
760,21
761,40
762,34
763,31
764,22
765,62
766,64
767,46
768,53
769,75
770,61
771,25
772,89
773,79
774,70
775,63
776,39
777,4
778,41
779,63
780,94
781,89
782,45
783,47
784,54
785,85
786,40
787,59
788,8
789,75
790,12
791,86
792,38
793,5
794,42
795,74
796,7
797,54
798,97
799,44
800,12
801,95
802,54
803,5
804,48
805,29
806,92
807,76
808,14
809,95
810,73
811,76
812,25
813,3
814,21
815,46
816,56
817,29
818,41
819,47
820,30
821,100
822,19
823,80
824,3
825,85
826,92
827,68
828,87
829,71
830,67
831,1
832,86
833,72
834,38
835,95
836,23
837,14
838,29
839,6
840,57
841,52
842,6
843,8
844,65
845,100
846,27
847,71
848,75
849,23
850,54
851,55
852,100
853,93
854,36
855,50
856,15
857,18
858,67
859,65
860,50
861,100
862,68
863,70
864,77
865,11
866,33
867,38
868,21
869,5
870,34
871,34
872,24
873,36
874,98
875,88
876,72
877,61
878,13
879,61
880,47
881,16
882,85
883,63
884,29
885,77
886,30
887,95
888,84
889,61
890,34
891,28
892,4
893,56
894,35
895,47
896,94
897,39
898,63
899,55
900,95
901,43
902,65
903,76
904,89
905,81
906,59
907,41
908,86
909,14
910,55
911,99
912,39
913,97
914,18
915,92
916,35
917,12
918,73
919,45
920,86
921,69
922,75
923,63
924,82
925,74
926,56
927,98
928,8
929,99
930,48
931,47
932,82
933,81
934,57
935,81
936,43
937,6
938,48
939,34
940,28
941,83
942,70
943,85
944,75
945,1
946,89
947,93
948,6
949,27
950,90
951,81
952,53
953,84
954,74
955,69
956,18
957,79
958,38
959,36
960,94
961,41
962,79
963,6
964,99
965,27
966,37
967,3
968,55
969,6
970,55
971,69
972,35
973,41
974,54
975,61
976,53
977,13
978,63
979,42
980,52
981,50
982,16
983,75
984,14
985,48
986,56
987,9
988,65
989,16
990,55
991,11
992,42
993,62
994,95
995,38
996,76
997,87
998,10
999,12
1000,96
